"Realized Gain/Loss - Lot Details for ...844 as of Sat Oct 05  03:10:41 EDT 2024 from 01/01/2022 to 10/05/2024","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"NVDL 12/20/2024 25.00 P","PUT GRNITSHR 1.5X LNG NVDA $25 EXP 12/20/24","09/30/2024","09/30/2024","1","$3.34","$0.26","$334.33","$25.66","$308.67","92.324948404271%","","$308.67","Short Term","$25.66","No","","09/27/2024","","","","","","",""
"NVDL 12/20/2024 25.00 P","PUT GRNITSHR 1.5X LNG NVDA $25 EXP 12/20/24","09/30/2024","09/30/2024","1","$3.34","$0.74","$334.33","$73.66","$260.67","77.967876050609%","","$260.67","Short Term","$73.66","No","","09/27/2024","","","","","","",""
"SNOW 10/04/2024 130.00 C","CALL SNOWFLAKE INC $130 EXP 10/04/24","09/30/2024","09/30/2024","2","$0.39","$0.09","$77.67","$17.32","$60.35","77.70052787434%","","$60.35","Short Term","$17.32","No","","09/27/2024","","","","","","",""
"TSLZ 10/18/2024 15.00 C","CALL ETF OPTRST RX 2X IN $15 EXP 10/18/24","09/30/2024","09/30/2024","1","$1.59","$0.41","$159.34","$40.66","$118.68","74.482239236852%","","$118.68","Short Term","$40.66","No","","09/27/2024","","","","","","",""
"TSLZ 10/18/2024 15.00 C","CALL ETF OPTRST RX 2X IN $15 EXP 10/18/24","09/30/2024","09/30/2024","1","$1.83","$0.41","$183.33","$40.66","$142.67","77.821414934817%","","$142.67","Short Term","$40.66","No","","09/27/2024","","","","","","",""
"NVDL 10/18/2024 47.00 P","PUT GRNITSHR 1.5X LNG NVDA $47 EXP 10/18/24","09/26/2024","09/26/2024","1","$3.91","$0.89","$391.33","$88.66","$302.67","77.343929675721%","","$302.67","Short Term","$88.66","No","","09/25/2024","","","","","","",""
"NVDA 10/04/2024 105.00 P","PUT NVIDIA CORP $105 EXP 10/04/24","09/25/2024","09/25/2024","1","$1.35","$0.19","$135.34","$18.66","$116.68","86.2125018472%","","$116.68","Short Term","$18.66","No","","09/24/2024","","","","","","",""
"NVDL 12/20/2024 25.00 P","PUT GRNITSHR 1.5X LNG NVDA $25 EXP 12/20/24","09/25/2024","09/25/2024","1","$3.34","$0.81","$334.33","$80.66","$253.67","75.874136332366%","","$253.67","Short Term","$80.66","No","","09/24/2024","","","","","","",""
"TSLA 03/21/2025 200.00 P","PUT TESLA INC $200 EXP 03/21/25","09/25/2024","09/25/2024","1","$26.86","$13.74","$2,686.27","$1,373.66","$1,312.61","48.863665975498%","","$1,312.61","Short Term","$1,373.66","No","","09/24/2024","","","","","","",""
"GOOG 09/27/2024 150.00 P","PUT ALPHABET INC $150 EXP 09/27/24","09/24/2024","09/24/2024","1","$0.50","$0.04","$50.34","$4.01","$46.33","92.034167659913%","","$46.33","Short Term","$4.01","No","","09/23/2024","","","","","","",""
"GOOG 09/20/2024 135.00 C","CALL ALPHABET INC $135 EXP 09/20/24","09/23/2024","09/23/2024","1","$17.00","$28.91","$1,700.33","$2,890.66","-$1,190.33","-70.005822399181%","","-$1,190.33","Short Term","$2,890.66","No","","09/20/2024","","","","","","",""
"NVDL 09/27/2024 55.00 P","PUT GRNITSHR 1.5X LNG NVDA $55 EXP 09/27/24","09/20/2024","09/20/2024","1","$5.22","$2.34","$522.33","$233.66","$288.67","55.265828116325%","","$288.67","Short Term","$233.66","No","","09/19/2024","","","","","","",""
"NVDL 10/04/2024 55.00 P","PUT GRNITSHR 1.5X LNG NVDA $55 EXP 10/04/24","09/20/2024","09/20/2024","1","$4.89","$3.68","$489.33","$367.66","$121.67","24.864610794351%","","$121.67","Short Term","$367.66","No","","09/19/2024","","","","","","",""
"NVDL 10/11/2024 59.00 P","PUT GRNITSHR 1.5X LNG NVDA $59 EXP 10/11/24","09/20/2024","09/20/2024","1","$7.43","$6.01","$743.32","$600.66","$142.66","19.19227250713%","","$142.66","Short Term","$600.66","No","","09/19/2024","","","","","","",""
"NVDL 10/18/2024 58.00 P","PUT GRNITSHR 1.5X LNG NVDA $58 EXP 10/18/24","09/20/2024","09/20/2024","1","$6.92","$6.61","$692.32","$660.66","$31.66","4.573029812803%","","$31.66","Short Term","$660.66","No","","09/19/2024","","","","","","",""
"NVDL 09/20/2024 30.00 P","PUT GRNITSHR 1.5X LNG NVDA $30 EXP 09/20/24","09/19/2024","09/19/2024","1","$2.92","$0.02","$292.33","$2.01","$290.32","99.312420894195%","","$290.32","Short Term","$2.01","No","","09/18/2024","","","","","","",""
"NVDA 09/20/2024 50.00 C","CALL NVIDIA CORP $50 EXP 09/20/24","09/17/2024","09/17/2024","5","$30.40","$66.33","$15,201.55","$33,163.30","-$17,961.75","-118.157358953528%","","-$17,961.75","Short Term","$33,163.30","No","","09/16/2024","","","","","","",""
"GOOG 09/13/2024 150.00 P","PUT ALPHABET INC $150 EXP 09/13/24","09/13/2024","09/05/2024","1","$0.48","$0.00","$48.34","$0.00","$48.34","100%","","$48.34","Short Term","$0.00","No","","09/13/2024","","","","","","",""
"NVDL 09/13/2024 52.00 P","PUT GRNITSHR 1.5X LNG NVDA $52 EXP 09/13/24","09/13/2024","08/29/2024","1","$1.84","$0.00","$184.33","$0.00","$184.33","100%","","$184.33","Short Term","$0.00","No","","09/13/2024","","","","","","",""
"GOOG 09/20/2024 140.00 C","CALL ALPHABET INC $140 EXP 09/20/24","09/12/2024","09/12/2024","1","$14.14","$12.22","$1,414.33","$1,221.66","$192.67","13.622704743589%","","$192.67","Short Term","$1,221.66","No","","09/11/2024","","","","","","",""
"NVDL 03/21/2025 60.00 C","CALL GRNITSHR 1.5X LNG NVDA $60 EXP 03/21/25","09/10/2024","09/10/2024","1","$9.23","$8.26","$923.31","$825.66","$97.65","10.576079539916%","","$97.65","Short Term","$825.66","No","","09/09/2024","","","","","","",""
"NVDL 03/21/2025 60.00 C","CALL GRNITSHR 1.5X LNG NVDA $60 EXP 03/21/25","09/10/2024","09/10/2024","3","$18.73","$8.26","$5,619.85","$2,476.98","$3,142.87","55.924446382021%","","$3,142.87","Short Term","$2,476.98","No","","09/09/2024","","","","","","",""
"COIN 09/27/2024 145.00 C","CALL COINBASE GLOBAL INC $145 EXP 09/27/24","09/09/2024","09/09/2024","1","$20.78","$12.11","$2,078.28","$1,210.66","$867.62","41.747021575534%","","$867.62","Short Term","$1,210.66","No","","09/06/2024","","","","","","",""
"NVDL 03/21/2025 65.00 C","CALL GRNITSHR 1.5X LNG NVDA $65 EXP 03/21/25","09/09/2024","09/09/2024","1","$10.10","$7.03","$1,010.31","$702.66","$307.65","30.451049677822%","","$307.65","Short Term","$702.66","No","","09/06/2024","","","","","","",""
"SNOW 09/27/2024 165.00 C","CALL SNOWFLAKE INC $165 EXP 09/27/24","09/09/2024","09/09/2024","1","$1.12","$0.03","$112.34","$3.01","$109.33","97.32063379028%","","$109.33","Short Term","$3.01","No","","09/06/2024","","","","","","",""
"SNOW 09/27/2024 165.00 C","CALL SNOWFLAKE INC $165 EXP 09/27/24","09/09/2024","09/09/2024","1","$1.10","$0.03","$110.34","$3.01","$107.33","97.272068152982%","","$107.33","Short Term","$3.01","No","","09/06/2024","","","","","","",""
"COIN","COINBASE GLOBAL INC A","09/06/2024","12/14/2023","100","$146.74","$151.01","$14,673.57","$15,101.40","-$427.83","-2.833048591521%","","-$427.83","Short Term","$15,101.40","No","","09/06/2024","","","","","","",""
"COIN 09/20/2024 150.00 C","CALL COINBASE GLOBAL INC $150 EXP 09/20/24","09/06/2024","09/06/2024","1","$23.15","$16.10","$2,315.32","$1,609.66","$705.66","30.477860511722%","","$705.66","Short Term","$1,609.66","No","","09/05/2024","","","","","","",""
"NVDL 03/21/2025 69.00 C","CALL GRNITSHR 1.5X LNG NVDA $69 EXP 03/21/25","09/06/2024","09/06/2024","2","$9.71","$7.62","$1,942.62","$1,523.32","$419.30","21.584252195489%","","$419.30","Short Term","$1,523.32","No","","09/05/2024","","","","","","",""
"SNOW 09/20/2024 165.00 C","CALL SNOWFLAKE INC $165 EXP 09/20/24","09/06/2024","09/06/2024","3","$0.95","$0.02","$286.00","$6.03","$279.97","97.891608391608%","","$279.97","Short Term","$6.03","No","","09/05/2024","","","","","","",""
"NVDL 03/21/2025 75.00 C","CALL GRNITSHR 1.5X LNG NVDA $75 EXP 03/21/25","09/04/2024","09/04/2024","2","$8.39","$7.91","$1,678.62","$1,581.32","$97.30","5.796428018253%","","$97.30","Short Term","$1,581.32","No","","09/03/2024","","","","","","",""
"NVDL 09/20/2024 29.17 P","PUT GRNITSHR 1.5X LNG NVDA $29.17 EXP 09/20/24","09/03/2024","09/03/2024","1","$2.59","$0.16","$259.34","$15.66","$243.68","93.961594817614%","","$243.68","Short Term","$15.66","No","","08/30/2024","","","","","","",""
"COIN 03/21/2025 180.00 P","PUT COINBASE GLOBAL INC $180 EXP 03/21/25","08/30/2024","08/30/2024","1","$32.46","$31.91","$3,246.25","$3,190.66","$55.59","1.712437427801%","","$55.59","Short Term","$3,190.66","No","","08/29/2024","","","","","","",""
"NVDL 09/06/2024 54.50 P","PUT GRNITSHR 1.5X LNG NVDA $54.5 EXP 09/06/24","08/30/2024","08/30/2024","1","$3.47","$1.61","$347.33","$160.66","$186.67","53.744277776178%","","$186.67","Short Term","$160.66","No","","08/29/2024","","","","","","",""
"NVDL 09/13/2024 64.00 P","PUT GRNITSHR 1.5X LNG NVDA $64 EXP 09/13/24","08/30/2024","08/30/2024","1","$8.27","$7.61","$827.32","$760.66","$66.66","8.057341778272%","","$66.66","Short Term","$760.66","No","","08/29/2024","","","","","","",""
"NVDL 09/20/2024 43.33 P","PUT GRNITSHR 1.5X LNG NVDA $43.33 EXP 09/20/24","08/30/2024","08/30/2024","1","$2.59","$0.76","$259.33","$75.66","$183.67","70.824817799715%","","$183.67","Short Term","$75.66","No","","08/29/2024","","","","","","",""
"NVDL 09/20/2024 60.00 P","PUT GRNITSHR 1.5X LNG NVDA $60 EXP 09/20/24","08/30/2024","08/30/2024","1","$6.93","$5.95","$693.32","$594.66","$98.66","14.230081347718%","","$98.66","Short Term","$594.66","No","","08/29/2024","","","","","","",""
"NVDL 09/20/2024 60.00 P","PUT GRNITSHR 1.5X LNG NVDA $60 EXP 09/20/24","08/30/2024","08/30/2024","1","$6.93","$6.21","$693.31","$620.66","$72.65","10.47871803378%","","$72.65","Short Term","$620.66","No","","08/29/2024","","","","","","",""
"GOTU 01/17/2025 7.50 C","CALL GAOTU TECHEDU INC $7.5 EXP 01/17/25","08/28/2024","08/28/2024","1","$1.35","$0.11","$135.34","$10.66","$124.68","92.12354071228%","","$124.68","Short Term","$10.66","No","","08/27/2024","","","","","","",""
"GOTU 01/17/2025 7.50 C","CALL GAOTU TECHEDU INC $7.5 EXP 01/17/25","08/28/2024","08/28/2024","1","$1.29","$0.11","$129.34","$10.66","$118.68","91.758156796041%","","$118.68","Short Term","$10.66","No","","08/27/2024","","","","","","",""
"GOTU 01/17/2025 7.50 C","CALL GAOTU TECHEDU INC $7.5 EXP 01/17/25","08/28/2024","08/28/2024","1","$1.49","$0.11","$149.34","$10.66","$138.68","92.861925806884%","","$138.68","Short Term","$10.66","No","","08/27/2024","","","","","","",""
"GOTU 10/18/2024 4.50 C","CALL GAOTU TECHEDU INC $4.5 EXP 10/18/24","08/28/2024","08/28/2024","1","$0.44","$0.16","$44.34","$15.66","$28.68","64.68200270636%","","$28.68","Short Term","$15.66","No","","08/27/2024","","","","","","",""
"GOTU 10/18/2024 4.50 C","CALL GAOTU TECHEDU INC $4.5 EXP 10/18/24","08/28/2024","08/28/2024","3","$0.49","$0.16","$148.01","$46.98","$101.03","68.258901425579%","","$101.03","Short Term","$46.98","No","","08/27/2024","","","","","","",""
"GOTU 10/18/2024 4.50 C","CALL GAOTU TECHEDU INC $4.5 EXP 10/18/24","08/28/2024","08/28/2024","10","$0.49","$0.16","$493.35","$156.61","$336.74","68.255802168846%","","$336.74","Short Term","$156.61","No","","08/27/2024","","","","","","",""
"GOTU 10/18/2024 6.00 C","CALL GAOTU TECHEDU INC $6 EXP 10/18/24","08/28/2024","08/28/2024","1","$0.79","$0.03","$79.34","$3.01","$76.33","96.206201159566%","","$76.33","Short Term","$3.01","No","","08/27/2024","","","","","","",""
"GOTU 10/18/2024 6.00 C","CALL GAOTU TECHEDU INC $6 EXP 10/18/24","08/28/2024","08/28/2024","1","$1.14","$0.03","$114.34","$3.01","$111.33","97.367500437292%","","$111.33","Short Term","$3.01","No","","08/27/2024","","","","","","",""
"NVDL 08/30/2024 55.00 P","PUT GRNITSHR 1.5X LNG NVDA $55 EXP 08/30/24","08/28/2024","08/28/2024","1","$3.29","$1.76","$329.33","$175.66","$153.67","46.661403455501%","","$153.67","Short Term","$175.66","No","","08/27/2024","","","","","","",""
"NVDL 08/30/2024 55.00 P","PUT GRNITSHR 1.5X LNG NVDA $55 EXP 08/30/24","08/28/2024","08/28/2024","1","$3.29","$1.91","$329.32","$190.66","$138.66","42.104943519981%","","$138.66","Short Term","$190.66","No","","08/27/2024","","","","","","",""
"NVDL 09/20/2024 60.00 P","PUT GRNITSHR 1.5X LNG NVDA $60 EXP 09/20/24","08/28/2024","08/28/2024","1","$6.93","$5.91","$693.32","$590.66","$102.66","14.807015519529%","","$102.66","Short Term","$590.66","No","","08/27/2024","","","","","","",""
"NVDL 09/20/2024 50.00 P","PUT GRNITSHR 1.5X LNG NVDA $50 EXP 09/20/24","08/26/2024","08/26/2024","1","$4.04","$2.76","$404.33","$275.66","$128.67","31.823015853387%","","$128.67","Short Term","$275.66","No","","08/23/2024","","","","","","",""
"NVDL 09/20/2024 50.00 P","PUT GRNITSHR 1.5X LNG NVDA $50 EXP 09/20/24","08/26/2024","08/26/2024","1","$4.04","$2.76","$404.33","$275.66","$128.67","31.823015853387%","","$128.67","Short Term","$275.66","No","","08/23/2024","","","","","","",""
"NVDL 09/20/2024 50.00 P","PUT GRNITSHR 1.5X LNG NVDA $50 EXP 09/20/24","08/26/2024","08/26/2024","1","$4.04","$2.76","$404.32","$275.66","$128.66","31.821329639889%","","$128.66","Short Term","$275.66","No","","08/23/2024","","","","","","",""
"NVDL 09/20/2024 50.00 P","PUT GRNITSHR 1.5X LNG NVDA $50 EXP 09/20/24","08/26/2024","08/26/2024","1","$5.67","$2.76","$567.32","$275.66","$291.66","51.410138898682%","","$291.66","Short Term","$275.66","No","","08/23/2024","","","","","","",""
"NVDL 09/20/2024 50.00 P","PUT GRNITSHR 1.5X LNG NVDA $50 EXP 09/20/24","08/26/2024","08/26/2024","1","$5.67","$2.66","$567.32","$265.66","$301.66","53.172812522033%","","$301.66","Short Term","$265.66","No","","08/23/2024","","","","","","",""
"NVDL 09/20/2024 50.00 P","PUT GRNITSHR 1.5X LNG NVDA $50 EXP 09/20/24","08/26/2024","08/26/2024","1","$5.67","$2.66","$567.32","$265.66","$301.66","53.172812522033%","","$301.66","Short Term","$265.66","No","","08/23/2024","","","","","","",""
"NVDL 09/20/2024 50.00 P","PUT GRNITSHR 1.5X LNG NVDA $50 EXP 09/20/24","08/26/2024","08/26/2024","1","$5.67","$2.61","$567.33","$260.66","$306.67","54.054959194825%","","$306.67","Short Term","$260.66","No","","08/23/2024","","","","","","",""
"NVDL 09/20/2024 50.00 P","PUT GRNITSHR 1.5X LNG NVDA $50 EXP 09/20/24","08/26/2024","08/26/2024","1","$5.67","$2.51","$567.32","$250.66","$316.66","55.816822957061%","","$316.66","Short Term","$250.66","No","","08/23/2024","","","","","","",""
"NVDL 08/23/2024 55.00 P","PUT GRNITSHR 1.5X LNG NVDA $55 EXP 08/23/24","08/22/2024","08/22/2024","1","$2.27","$0.16","$227.33","$15.66","$211.67","93.111335943342%","","$211.67","Short Term","$15.66","No","","08/21/2024","","","","","","",""
"NVDL 08/16/2024 60.00 P","PUT GRNITSHR 1.5X LNG NVDA $60 EXP 08/16/24","08/19/2024","08/19/2024","1","$2.79","$0.03","$279.33","$3.01","$276.32","98.92242150861%","","$276.32","Short Term","$3.01","No","","08/16/2024","","","","","","",""
"NVDL 08/23/2024 55.00 P","PUT GRNITSHR 1.5X LNG NVDA $55 EXP 08/23/24","08/19/2024","08/19/2024","1","$2.27","$0.56","$227.33","$55.66","$171.67","75.515770025953%","","$171.67","Short Term","$55.66","No","","08/16/2024","","","","","","",""
"NVDL 08/23/2024 70.00 P","PUT GRNITSHR 1.5X LNG NVDA $70 EXP 08/23/24","08/19/2024","08/19/2024","1","$11.69","$6.65","$1,169.31","$664.66","$504.65","43.157930745482%","","$504.65","Short Term","$664.66","No","","08/16/2024","","","","","","",""
"NVDL 09/20/2024 47.50 P","PUT GRNITSHR 1.5X LNG NVDA $47.5 EXP 09/20/24","08/19/2024","08/19/2024","1","$5.19","$2.58","$519.33","$257.66","$261.67","50.386074365047%","","$261.67","Short Term","$257.66","No","","08/16/2024","","","","","","",""
"NVDL 12/20/2024 25.00 P","PUT GRNITSHR 1.5X LNG NVDA $25 EXP 12/20/24","08/19/2024","08/19/2024","10","$3.34","$1.36","$3,343.34","$1,356.61","$1,986.73","59.423510621115%","","$1,986.73","Short Term","$1,356.61","No","","08/16/2024","","","","","","",""
"SNOW 09/20/2024 175.00 C","CALL SNOWFLAKE INC $175 EXP 09/20/24","08/19/2024","08/19/2024","1","$1.99","$0.47","$199.33","$46.66","$152.67","76.591581799027%","","$152.67","Short Term","$46.66","No","","08/16/2024","","","","","","",""
"SNOW 09/20/2024 180.00 C","CALL SNOWFLAKE INC $180 EXP 09/20/24","08/19/2024","08/19/2024","1","$1.70","$0.34","$170.34","$33.66","$136.68","80.239520958084%","","$136.68","Short Term","$33.66","No","","08/16/2024","","","","","","",""
"TSLA 01/17/2025 200.00 C","CALL TESLA INC $200 EXP 01/17/25","08/19/2024","08/19/2024","1","$52.62","$41.45","$5,262.19","$4,144.66","$1,117.53","21.236975479791%","","$1,117.53","Short Term","$4,144.66","No","","08/16/2024","","","","","","",""
"TSLZ 12/20/2024 50.00 P","PUT ETF OPTRST RX 2X IN $50 EXP 12/20/24","08/19/2024","08/19/2024","1","$13.49","$36.51","$1,349.33","$3,650.66","-$2,301.33","-170.553533976121%","","-$2,301.33","Short Term","$3,650.66","No","","08/16/2024","","","","","","",""
"BABA1 10/18/2024 80.00 P","PUT ALIBABA GROUP HLDG LTD $80 EXP 10/18/24","08/14/2024","08/14/2024","1","$8.58","$2.86","$858.33","$285.66","$572.67","66.719094054734%","","$572.67","Short Term","$285.66","No","","08/13/2024","","","","","","",""
"SNOW 08/16/2024 165.00 C","CALL SNOWFLAKE INC $165 EXP 08/16/24","08/13/2024","08/13/2024","3","$0.49","$0.01","$148.01","$3.03","$144.98","97.952841024255%","","$144.98","Short Term","$3.03","No","","08/12/2024","","","","","","",""
"NVDL 03/21/2025 75.00 C","CALL GRNITSHR 1.5X LNG NVDA $75 EXP 03/21/25","08/08/2024","08/08/2024","1","$8.39","$7.25","$839.31","$724.66","$114.65","13.660030262954%","","$114.65","Short Term","$724.66","No","","08/07/2024","","","","","","",""
"NVDL 03/21/2025 75.00 C","CALL GRNITSHR 1.5X LNG NVDA $75 EXP 03/21/25","08/08/2024","08/08/2024","2","$8.39","$7.04","$1,678.63","$1,407.32","$271.31","16.16258496512%","","$271.31","Short Term","$1,407.32","No","","08/07/2024","","","","","","",""
"BABA1 10/18/2024 80.00 C","CALL ALIBABA GROUP HLDG LTD $80 EXP 10/18/24","08/05/2024","08/05/2024","2","$7.04","$4.04","$1,408.66","$807.32","$601.34","42.688796444848%","","$601.34","Short Term","$807.32","No","","08/02/2024","","","","","","",""
"CHWY 09/20/2024 20.00 P","PUT CHEWY INC $20 EXP 09/20/24","08/05/2024","08/05/2024","1","$1.76","$1.37","$176.34","$136.66","$39.68","22.501984802087%","","$39.68","Short Term","$136.66","No","","08/02/2024","","","","","","",""
"COIN 01/17/2025 180.00 P","PUT COINBASE GLOBAL INC $180 EXP 01/17/25","08/05/2024","08/05/2024","1","$31.46","$27.48","$3,146.31","$2,747.66","$398.65","12.67039802181%","","$398.65","Short Term","$2,747.66","No","","08/02/2024","","","","","","",""
"NVDA 09/20/2024 50.00 C","CALL NVIDIA CORP $50 EXP 09/20/24","08/05/2024","08/05/2024","1","$30.40","$54.13","$3,040.31","$5,412.66","-$2,372.35","-78.029871953847%","","-$2,372.35","Short Term","$5,412.66","No","","08/02/2024","","","","","","",""
"NVDA 12/20/2024 50.00 C","CALL NVIDIA CORP $50 EXP 12/20/24","08/05/2024","08/05/2024","1","$55.30","$55.01","$5,530.19","$5,500.66","$29.53","0.533978036921%","","$29.53","Short Term","$5,500.66","No","","08/02/2024","","","","","","",""
"NVDA 12/20/2024 50.00 C","CALL NVIDIA CORP $50 EXP 12/20/24","08/05/2024","08/05/2024","1","$64.48","$55.01","$6,448.16","$5,500.66","$947.50","14.694114289968%","","$947.50","Short Term","$5,500.66","No","","08/02/2024","","","","","","",""
"NVDA 12/20/2024 50.00 C","CALL NVIDIA CORP $50 EXP 12/20/24","08/05/2024","08/05/2024","1","$54.84","$55.01","$5,484.19","$5,500.66","-$16.47","-0.300317822687%","","-$16.47","Short Term","$5,500.66","No","","08/02/2024","","","","","","",""
"NVDA 12/20/2024 65.00 C","CALL NVIDIA CORP $65 EXP 12/20/24","08/05/2024","08/05/2024","1","$44.28","$41.52","$4,428.22","$4,151.66","$276.56","6.245398828423%","","$276.56","Short Term","$4,151.66","No","","08/02/2024","","","","","","",""
"NVDA 09/20/2024 50.00 C","CALL NVIDIA CORP $50 EXP 09/20/24","07/31/2024","07/31/2024","1","$30.40","$53.86","$3,040.31","$5,385.66","-$2,345.35","-77.141804618608%","","-$2,345.35","Short Term","$5,385.66","No","","07/30/2024","","","","","","",""
"NVDA 10/18/2024 124.00 C","CALL NVIDIA CORP $124 EXP 10/18/24","07/31/2024","07/31/2024","1","$11.19","$5.61","$1,119.31","$560.66","$558.65","49.910212541655%","","$558.65","Short Term","$560.66","No","","07/30/2024","","","","","","",""
"NVDA 11/15/2024 63.00 C","CALL NVIDIA CORP $63 EXP 11/15/24","07/31/2024","07/31/2024","1","$56.95","$45.35","$5,695.18","$4,534.66","$1,160.52","20.37723127276%","","$1,160.52","Short Term","$4,534.66","No","","07/30/2024","","","","","","",""
"NVDL 08/02/2024 67.00 P","PUT GRNITSHR 1.5X LNG NVDA $67 EXP 08/02/24","07/31/2024","07/31/2024","1","$5.31","$18.38","$531.33","$1,837.66","-$1,306.33","-245.860388082736%","","-$1,306.33","Short Term","$1,837.66","No","","07/30/2024","","","","","","",""
"NVDL 08/09/2024 69.00 C","CALL GRNITSHR 1.5X LNG NVDA $69 EXP 08/09/24","07/31/2024","07/31/2024","2","$0.92","$0.26","$184.66","$51.32","$133.34","72.208382974115%","","$133.34","Short Term","$51.32","No","","07/30/2024","","","","","","",""
"NVDL 08/16/2024 75.00 C","CALL GRNITSHR 1.5X LNG NVDA $75 EXP 08/16/24","07/31/2024","07/31/2024","1","$1.57","$0.23","$157.34","$22.66","$134.68","85.59806787848%","","$134.68","Short Term","$22.66","No","","07/30/2024","","","","","","",""
"NVDL 08/16/2024 75.00 C","CALL GRNITSHR 1.5X LNG NVDA $75 EXP 08/16/24","07/31/2024","07/31/2024","2","$1.28","$0.23","$256.66","$45.32","$211.34","82.342398503857%","","$211.34","Short Term","$45.32","No","","07/30/2024","","","","","","",""
"NVDL 08/23/2024 75.00 C","CALL GRNITSHR 1.5X LNG NVDA $75 EXP 08/23/24","07/31/2024","07/31/2024","2","$1.49","$0.51","$298.66","$101.32","$197.34","66.075135605705%","","$197.34","Short Term","$101.32","No","","07/30/2024","","","","","","",""
"NVDL 08/30/2024 65.00 C","CALL GRNITSHR 1.5X LNG NVDA $65 EXP 08/30/24","07/31/2024","07/31/2024","1","$7.62","$2.74","$762.32","$273.66","$488.66","64.101689579179%","","$488.66","Short Term","$273.66","No","","07/30/2024","","","","","","",""
